NAME,COLOR,ANALYSIS_NAME,SOL,SEQ_ID,FEATURE,FEATURE_SUBTYPE,DESCRIPTION,SITE,DRIVE,RSM,LTST,INCIDENCE_ANGLE,EMISSION_ANGLE,PHASE_ANGLE,SOLAR_ELEVATION,SOLAR_AZIMUTH,LAT,LON,ODOMETRY,ROVER_ELEVATION,SCLK,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_STD,L0B_STD,R0B_STD,L5_STD,L0G_STD,R0G_STD,L4_STD,L0R_STD,R0R_STD,L3_STD,L2_STD,L1_STD,R1_STD,R2_STD,R3_STD,R4_STD,R5_STD,R6_STD,L6_COUNT,L0B_COUNT,R0B_COUNT,L5_COUNT,L0G_COUNT,R0G_COUNT,L4_COUNT,L0R_COUNT,R0R_COUNT,L3_COUNT,L2_COUNT,L1_COUNT,R1_COUNT,R2_COUNT,R3_COUNT,R4_COUNT,R5_COUNT,R6_COUNT,LEFT_DET_RAD,LEFT_DET_THETA,LEFT_COUNT,RIGHT_DET_RAD,RIGHT_DET_THETA,RIGHT_COUNT,ROW,COLUMN,DET_RAD,DET_THETA,ROI_SOURCE,FLOAT,FORMATION,GRAIN_SIZE,MEMBER,DISTANCE,ZOOM,COMPRESSION,L_S,COMPRESSION_QUALITY,CREATOR,RC_SEL_FILE,RC_CALTARGET_FILE,RC_SOL,RC_SEQ_ID,RC_LTST,RC_SOLAR_AZIMUTH,RC_SCALING_FACTOR,RC_UNCERTAINTY,RC_AZIMUTH_ANGLE,RC_EMISSION_ANGLE,RC_INCIDENCE_ANGLE,FILE_TIMESTAMP
ROI_001,green,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.07050140231263403,0.09022696501289318,0.09022696501289318,0.11820425395092933,0.13016966277477787,0.13016966277477787,0.19022213555628958,0.20466750899171518,0.20466750899171518,0.21698484233781404,0.23383949628842424,0.23053778854070925,0.23053778854070925,0.23796161327486723,0.22625109105328328,0.22515874127157373,0.22346543954088796,0.23133832644792943,0.008777056923917474,0.00801569560936733,0.00801569560936733,0.009652651406534627,0.009188994642336813,0.009188994642336813,0.018531473006849195,0.02009651291325084,0.02009651291325084,0.024449131347157267,0.027858547563736246,0.027715192160607464,0.027715192160607464,0.02422678564388003,0.02607635064636386,0.025898246377365004,0.028735574441765586,0.028970231692325633,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,11.672617529928752,0.0,272.0,11.672617529928752,0.0,272.0,383.5,1127.0,11.672617529928752,0.0,SPARC_AUTO,ROI_001,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
ROI_002,yellow,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.08216326648652242,0.11034152645091112,0.11034152645091112,0.15777873493613997,0.17767765384694045,0.17767765384694045,0.26464572127576896,0.2971240937397742,0.2971240937397742,0.3301213049763784,0.36990731923367964,0.36178844511821007,0.36178844511821007,0.3567581574122111,0.3309072454770406,0.3135254581769307,0.3128528992335002,0.3349405527114868,0.005128838778568486,0.004264140199358179,0.004264140199358179,0.010460693774445622,0.005777104906013349,0.005777104906013349,0.018251717554357772,0.011317488643130586,0.011317488643130586,0.021299008604343916,0.020200476375044126,0.013234366629592516,0.013234366629592516,0.013281344682064523,0.017058616110345082,0.01923108596782304,0.019692292350454575,0.021068214308668048,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,13.729530217745982,0.0,345.0,13.729530217745982,0.0,345.0,70.5,577.5,13.729530217745982,0.0,SPARC_AUTO,ROI_002,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
ROI_003,blue,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.07149813548628106,0.09171570927263742,0.09171570927263742,0.1202117965882083,0.13033781855939383,0.13033781855939383,0.18330439602036075,0.19425757534532662,0.19425757534532662,0.20272585857345396,0.21328491762459997,0.2041194410209196,0.2041194410209196,0.1900073361684041,0.18041627952851444,0.17674016378012047,0.17843970333237247,0.18949239799775272,0.00594821738657385,0.004818785655094675,0.004818785655094675,0.007875160118928026,0.00794467100797741,0.00794467100797741,0.011438154112293774,0.013244413621841299,0.013244413621841299,0.013349698312377064,0.013696644141694306,0.015523197537249499,0.015523197537249499,0.015148746480238487,0.017557350226014744,0.01730431669686744,0.017664694113654553,0.017729367098575668,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,8.48528137423857,0.0,144.0,8.48528137423857,0.0,144.0,788.0,518.0,8.48528137423857,0.0,SPARC_AUTO,ROI_003,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
ROI_004,red,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.07611482017918637,0.09528426120155736,0.09528426120155736,0.1225235989219264,0.13284655119243421,0.13284655119243421,0.18335804186369242,0.19735424644068666,0.19735424644068666,0.2051211106149774,0.21660931235865544,0.21529280010022614,0.21529280010022614,0.20952628286261307,0.19694089387592517,0.19578676725688735,0.19929913972553454,0.2085824263723273,0.01165582344857889,0.009163076444994376,0.009163076444994376,0.012714670826891965,0.011168659701855044,0.011168659701855044,0.017346742690576407,0.01602213381076611,0.01602213381076611,0.017478433293306707,0.018603422198674627,0.01769379617312325,0.01769379617312325,0.013859630499593439,0.014852639583844801,0.015439771959557601,0.014793880124439999,0.014828836951937615,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,9.192388155425117,0.0,169.0,9.192388155425117,0.0,169.0,962.5,288.5,9.192388155425117,0.0,SPARC_AUTO,ROI_004,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
ROI_005,magenta,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0824541948279556,0.10794193890629983,0.10794193890629983,0.14379900328967035,0.15901620047433035,0.15901620047433035,0.2351347864890585,0.2591156278337751,0.2591156278337751,0.28098962744887995,0.30621116015375877,0.30552161469751477,0.30552161469751477,0.3152623079261001,0.2993271496831154,0.292479690240354,0.29229993236308194,0.3000006773033921,0.0031595574238733235,0.0034296809934587034,0.0034296809934587034,0.0076435606677853546,0.007844073790508362,0.007844073790508362,0.01921759280482659,0.015568409452322301,0.015568409452322301,0.023021485609606422,0.021672514673948776,0.018863614071312682,0.018863614071312682,0.015386590059576814,0.018119043772348534,0.013961926960873828,0.015999619775007804,0.020317841076430535,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,9.192388155425117,0.0,169.0,9.192388155425117,0.0,169.0,168.5,1448.5,9.192388155425117,0.0,SPARC_AUTO,ROI_005,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
ROI_006,cyan,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.07694135308265686,0.10105283260345459,0.10105283260345459,0.13537847995758057,0.15389782190322876,0.15389782190322876,0.22955431938171386,0.24796056747436523,0.24796056747436523,0.26527013778686526,0.29385974407196047,0.28336658477783205,0.28336658477783205,0.26919121742248536,0.2394763469696045,0.22899060249328612,0.2340160369873047,0.2501800060272217,0.0035803964130797753,0.0037689989763854,0.0037689989763854,0.005097345723320065,0.003892590193563191,0.003892590193563191,0.009504357135899134,0.006414790697921298,0.006414790697921298,0.009843414758912527,0.012785805261959294,0.010734246016441611,0.010734246016441611,0.011986488126814035,0.014876981671634655,0.0145565848291666,0.016236840649875708,0.013715219904619231,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,5.70087712549569,0.0,63.0,5.70087712549569,0.0,63.0,71.5,1383.5,5.70087712549569,0.0,SPARC_AUTO,ROI_006,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
ROI_007,orange,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.06083502739729851,0.07657479744195442,0.07657479744195442,0.0965237211041044,0.10393703405178015,0.10393703405178015,0.1374908098312029,0.14723394318578645,0.14723394318578645,0.1520046939968815,0.16328731544796,0.16417315001299376,0.16417315001299376,0.16684414881356754,0.15824179323563664,0.1574230312560656,0.1589082990373884,0.164846842827017,0.002039450696178481,0.0021591893097529236,0.0021591893097529236,0.0036651279196745325,0.00307186815489455,0.00307186815489455,0.006830098892267258,0.00557856019683365,0.00557856019683365,0.007553943447040564,0.007008473497858997,0.005564112874675126,0.005564112874675126,0.006856778969107351,0.006417721712486946,0.006143291501942118,0.0063783289808855455,0.0064032592144828765,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,14.849242404917497,0.0,441.0,14.849242404917497,0.0,441.0,889.5,737.5,14.849242404917497,0.0,SPARC_AUTO,ROI_007,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
ROI_008,azure,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.07155672709147136,0.09304623074001736,0.09304623074001736,0.12375614378187391,0.13533030615912545,0.13533030615912545,0.19563694000244142,0.21106353335910374,0.21106353335910374,0.2252641889784071,0.24029983944363065,0.2324544694688585,0.2324544694688585,0.22491852311063404,0.21360085227272727,0.210015709406745,0.21223422384130725,0.22032909550942664,0.006247070061258338,0.00605038088280718,0.00605038088280718,0.009743220905521186,0.009414447269948837,0.009414447269948837,0.021244472849989683,0.021565677987821472,0.021565677987821472,0.02677555024854401,0.029270278723619966,0.02875702748334788,0.02875702748334788,0.02735583826156642,0.031024780092168358,0.03186361095598602,0.032180461829015704,0.03312545333280324,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,18.384776310850235,0.0,676.0,18.384776310850235,0.0,676.0,581.0,1537.0,18.384776310850235,0.0,SPARC_AUTO,ROI_008,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
ROI_009,purple,SPARC_ROI_ANALYSIS,1472,SOL1472_zcam04115_RSM522,rock,unknown,ROI identified by SPARC,0,0,0,00:00:00,45.0,0.0,45.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.08069968885845608,0.10607392258114284,0.10607392258114284,0.14738482899136013,0.16571513811747232,0.16571513811747232,0.2494678497314453,0.2734098964267307,0.2734098964267307,0.2924762831793891,0.3238743146260579,0.31347550286187065,0.31347550286187065,0.2979927592807346,0.27483974562750924,0.2645072142283122,0.2657473882039388,0.2901794645521376,0.005462831472862278,0.004304784906125388,0.004304784906125388,0.005274816958923621,0.004777631772316031,0.004777631772316031,0.010359971371896265,0.008248812623920425,0.008248812623920425,0.013603651592765323,0.013345204411531529,0.012402314332955263,0.012402314332955263,0.010902518057269606,0.01310358009656775,0.012924848914482324,0.014907176727181467,0.01435301336170625,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,5.315072906367325,0.0,56.0,5.315072906367325,0.0,56.0,124.5,1346.0,5.315072906367325,0.0,SPARC_AUTO,ROI_009,unknown,unknown,unknown,unknown,1,none,0.0,100,SPARC,,,613,,00:00:00,180.0,1.0,0.05,0.0,0.0,45.0,2025-06-23T03:45:49.352553
